,ProjectID,Framefile,Nfish,Sex,Box,CorrectAnnotation,User,DateTime,Dataset
72,CV10_3,CV10_3_0001_vid_194185.jpg,1,m,"(531, 720, 124, 190)",Yes,rhiyasharma,39:27.5,Validate
74,CV10_3,CV10_3_0001_vid_200082.jpg,1,u,"(577, 906, 123, 64)",Yes,rhiyasharma,39:27.5,Train
76,CV10_3,CV10_3_0001_vid_205072.jpg,1,m,"(890, 717, 174, 119)",Yes,rhiyasharma,04:03.1,Train
78,CV10_3,CV10_3_0001_vid_20929.jpg,1,m,"(480, 869, 221, 55)",Yes,rhiyasharma,04:03.1,Validate
80,CV10_3,CV10_3_0001_vid_212408.jpg,1,m,"(728, 507, 174, 141)",Yes,rhiyasharma,06:01.9,Train
82,CV10_3,CV10_3_0001_vid_214042.jpg,1,m,"(682, 424, 181, 137)",Yes,rhiyasharma,16:35.9,Train
84,CV10_3,CV10_3_0001_vid_220055.jpg,1,m,"(723, 471, 252, 60)",Yes,rhiyasharma,15:46.8,Train
86,CV10_3,CV10_3_0001_vid_222714.jpg,1,m,"(664, 762, 92, 207)",Yes,rhiyasharma,16:35.9,Train
88,CV10_3,CV10_3_0001_vid_228080.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
90,CV10_3,CV10_3_0001_vid_229076.jpg,0,,,Yes,rhiyasharma,15:46.8,Validate
92,CV10_3,CV10_3_0001_vid_233823.jpg,1,m,"(752, 425, 115, 189)",Yes,rhiyasharma,04:03.1,Train
94,CV10_3,CV10_3_0001_vid_23585.jpg,1,m,"(540, 4, 84, 109)",Yes,rhiyasharma,39:27.5,Train
96,CV10_3,CV10_3_0001_vid_236702.jpg,1,m,"(1098, 694, 87, 218)",Yes,rhiyasharma,15:46.8,Train
98,CV10_3,CV10_3_0001_vid_236780.jpg,1,u,"(1103, 900, 91, 69)",Yes,rhiyasharma,16:35.9,Train
103,CV10_3,CV10_3_0001_vid_24594.jpg,1,m,"(863, 230, 64, 193)",Yes,rhiyasharma,06:01.9,Validate
105,CV10_3,CV10_3_0001_vid_254155.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
108,CV10_3,CV10_3_0001_vid_263789.jpg,1,f,"(642, 700, 255, 94)",Yes,rhiyasharma,16:35.9,Train
109,CV10_3,CV10_3_0001_vid_270701.jpg,1,m,"(1207, 586, 80, 209)",Yes,rhiyasharma,15:46.8,Train
111,CV10_3,CV10_3_0001_vid_272995.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
113,CV10_3,CV10_3_0001_vid_279953.jpg,1,f,"(48, 617, 113, 128)",Yes,rhiyasharma,15:46.8,Train
115,CV10_3,CV10_3_0001_vid_282358.jpg,1,u,"(1260, 4, 35, 162)",Yes,rhiyasharma,04:03.1,Train
117,CV10_3,CV10_3_0001_vid_29259.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
119,CV10_3,CV10_3_0001_vid_292763.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
121,CV10_3,CV10_3_0001_vid_295256.jpg,0,,,Yes,rhiyasharma,04:03.1,Validate
123,CV10_3,CV10_3_0001_vid_296207.jpg,1,u,"(1179, 237, 44, 199)",Yes,rhiyasharma,04:03.1,Train
125,CV10_3,CV10_3_0001_vid_297409.jpg,0,,,Yes,rhiyasharma,04:03.1,Validate
127,CV10_3,CV10_3_0001_vid_309435.jpg,1,f,"(984, 367, 239, 81)",Yes,rhiyasharma,15:46.8,Train
129,CV10_3,CV10_3_0001_vid_309757.jpg,0,,,Yes,rhiyasharma,15:46.8,Validate
131,CV10_3,CV10_3_0001_vid_32410.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
133,CV10_3,CV10_3_0001_vid_44222.jpg,1,m,"(790, 666, 236, 42)",Yes,rhiyasharma,06:01.9,Train
135,CV10_3,CV10_3_0001_vid_55796.jpg,1,m,"(570, 566, 147, 198)",Yes,rhiyasharma,39:27.5,Validate
137,CV10_3,CV10_3_0001_vid_56374.jpg,1,u,"(954, 3, 38, 42)",Yes,rhiyasharma,04:03.1,Train
139,CV10_3,CV10_3_0001_vid_57239.jpg,1,m,"(703, 0, 65, 84)",Yes,rhiyasharma,16:35.9,Train
141,CV10_3,CV10_3_0001_vid_61398.jpg,1,m,"(477, 498, 217, 87)",Yes,rhiyasharma,04:03.1,Validate
143,CV10_3,CV10_3_0001_vid_6462.jpg,1,m,"(938, 515, 239, 56)",Yes,rhiyasharma,15:46.8,Train
145,CV10_3,CV10_3_0001_vid_67861.jpg,1,m,"(554, 741, 230, 108)",Yes,rhiyasharma,15:46.8,Train
149,CV10_3,CV10_3_0001_vid_69316.jpg,0,,,Yes,rhiyasharma,32:12.1,Train
150,CV10_3,CV10_3_0001_vid_88345.jpg,1,m,"(779, 825, 232, 72)",Yes,rhiyasharma,39:27.5,Train
152,CV10_3,CV10_3_0001_vid_92371.jpg,1,m,"(715, 512, 138, 144)",Yes,rhiyasharma,15:46.8,Train
154,CV10_3,CV10_3_0001_vid_92402.jpg,1,m,"(730, 489, 99, 157)",Yes,rhiyasharma,16:35.9,Validate
156,CV10_3,CV10_3_0001_vid_99688.jpg,2,f,"(401, 691, 39, 225)",Yes,rhiyasharma,16:35.9,Train
157,CV10_3,CV10_3_0001_vid_99688.jpg,2,m,"(695, 817, 265, 55)",Yes,rhiyasharma,16:35.9,Train
160,CV10_3,CV10_3_0002_vid_1007099.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
162,CV10_3,CV10_3_0002_vid_1013393.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
165,CV10_3,CV10_3_0002_vid_1029291.jpg,1,u,"(570, 929, 193, 42)",Yes,priya,02:12.8,Train
166,CV10_3,CV10_3_0002_vid_1053117.jpg,1,f,"(820, 269, 40, 190)",Yes,rhiyasharma,15:46.8,Validate
168,CV10_3,CV10_3_0002_vid_1054479.jpg,1,f,"(278, 378, 38, 205)",Yes,rhiyasharma,06:01.9,Train
170,CV10_3,CV10_3_0002_vid_124272.jpg,2,f,"(846, 203, 121, 263)",Yes,rhiyasharma,16:35.9,Train
171,CV10_3,CV10_3_0002_vid_124272.jpg,2,u,"(1198, 0, 50, 227)",Yes,rhiyasharma,16:35.9,Train
174,CV10_3,CV10_3_0002_vid_128019.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
176,CV10_3,CV10_3_0002_vid_134938.jpg,2,f,"(350, 186, 238, 76)",Yes,rhiyasharma,39:27.5,Train
177,CV10_3,CV10_3_0002_vid_134938.jpg,2,u,"(646, 0, 142, 114)",Yes,rhiyasharma,39:27.5,Train
180,CV10_3,CV10_3_0002_vid_16409.jpg,1,f,"(875, 479, 96, 205)",Yes,rhiyasharma,16:35.9,Train
182,CV10_3,CV10_3_0002_vid_167033.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
185,CV10_3,CV10_3_0002_vid_202812.jpg,1,u,"(0, 0, 43, 94)",Yes,priya,02:12.8,Validate
186,CV10_3,CV10_3_0002_vid_268576.jpg,1,u,"(1183, 52, 43, 253)",Yes,rhiyasharma,16:35.9,Train
188,CV10_3,CV10_3_0002_vid_303908.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
190,CV10_3,CV10_3_0002_vid_323281.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
192,CV10_3,CV10_3_0002_vid_343155.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
194,CV10_3,CV10_3_0002_vid_368397.jpg,0,,,Yes,rhiyasharma,06:01.9,Validate
196,CV10_3,CV10_3_0002_vid_380726.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
198,CV10_3,CV10_3_0002_vid_39230.jpg,3,u,"(1229, 441, 66, 257)",Yes,rhiyasharma,04:03.1,Train
199,CV10_3,CV10_3_0002_vid_39230.jpg,3,u,"(1124, 887, 159, 82)",Yes,rhiyasharma,04:03.1,Train
200,CV10_3,CV10_3_0002_vid_39230.jpg,3,u,"(1003, 883, 121, 86)",Yes,rhiyasharma,04:03.1,Train
204,CV10_3,CV10_3_0002_vid_403390.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
206,CV10_3,CV10_3_0002_vid_415139.jpg,1,u,"(15, 4, 71, 194)",Yes,rhiyasharma,39:27.5,Train
208,CV10_3,CV10_3_0002_vid_417505.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
210,CV10_3,CV10_3_0002_vid_418499.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
212,CV10_3,CV10_3_0002_vid_447352.jpg,1,f,"(59, 210, 33, 167)",Yes,rhiyasharma,04:03.1,Train
214,CV10_3,CV10_3_0002_vid_481072.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
216,CV10_3,CV10_3_0002_vid_481541.jpg,0,,,Yes,rhiyasharma,39:27.5,Validate
218,CV10_3,CV10_3_0002_vid_482456.jpg,0,,,Yes,rhiyasharma,16:35.9,Validate
220,CV10_3,CV10_3_0002_vid_508364.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
230,CV10_3,CV10_3_0002_vid_546723.jpg,1,f,"(172, 17, 137, 91)",Yes,rhiyasharma,04:03.1,Train
232,CV10_3,CV10_3_0002_vid_577069.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
234,CV10_3,CV10_3_0002_vid_588248.jpg,1,m,"(1202, 612, 49, 233)",Yes,rhiyasharma,06:01.9,Validate
236,CV10_3,CV10_3_0002_vid_614454.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
238,CV10_3,CV10_3_0002_vid_618153.jpg,0,,,Yes,rhiyasharma,06:01.9,Validate
240,CV10_3,CV10_3_0002_vid_619525.jpg,1,m,"(628, 0, 219, 51)",Yes,rhiyasharma,15:46.8,Validate
242,CV10_3,CV10_3_0002_vid_620290.jpg,0,,,Yes,rhiyasharma,15:46.8,Validate
244,CV10_3,CV10_3_0002_vid_625890.jpg,1,u,"(500, 1, 41, 114)",Yes,rhiyasharma,39:27.5,Train
246,CV10_3,CV10_3_0002_vid_634119.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
248,CV10_3,CV10_3_0002_vid_678075.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
250,CV10_3,CV10_3_0002_vid_680595.jpg,1,f,"(140, 0, 33, 152)",Yes,rhiyasharma,39:27.5,Validate
252,CV10_3,CV10_3_0002_vid_71453.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
254,CV10_3,CV10_3_0002_vid_738234.jpg,2,m,"(993, 318, 96, 185)",Yes,rhiyasharma,39:27.5,Train
255,CV10_3,CV10_3_0002_vid_738234.jpg,2,f,"(36, 800, 139, 65)",Yes,rhiyasharma,39:27.5,Train
258,CV10_3,CV10_3_0002_vid_739881.jpg,0,,,Yes,rhiyasharma,16:35.9,Validate
260,CV10_3,CV10_3_0002_vid_783437.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
262,CV10_3,CV10_3_0002_vid_791168.jpg,1,f,"(820, 164, 51, 109)",Yes,rhiyasharma,39:27.5,Train
265,CV10_3,CV10_3_0002_vid_802071.jpg,1,f,"(450, 400, 101, 111)",Yes,priya,02:12.8,Train
266,CV10_3,CV10_3_0002_vid_810347.jpg,1,f,"(92, 320, 51, 163)",Yes,rhiyasharma,06:01.9,Train
268,CV10_3,CV10_3_0002_vid_820892.jpg,2,f,"(198, 496, 166, 52)",Yes,rhiyasharma,04:03.1,Train
269,CV10_3,CV10_3_0002_vid_820892.jpg,2,u,"(1225, 205, 60, 287)",Yes,rhiyasharma,04:03.1,Train
272,CV10_3,CV10_3_0002_vid_825642.jpg,1,f,"(741, 600, 145, 106)",Yes,rhiyasharma,15:46.8,Train
274,CV10_3,CV10_3_0002_vid_829807.jpg,1,f,"(971, 679, 36, 158)",Yes,rhiyasharma,06:01.9,Train
276,CV10_3,CV10_3_0002_vid_860615.jpg,1,f,"(7, 715, 102, 91)",Yes,rhiyasharma,15:46.8,Train
278,CV10_3,CV10_3_0002_vid_879375.jpg,1,f,"(134, 691, 29, 169)",Yes,rhiyasharma,04:03.1,Train
280,CV10_3,CV10_3_0002_vid_879434.jpg,0,,,Yes,rhiyasharma,16:35.9,Validate
282,CV10_3,CV10_3_0002_vid_914046.jpg,1,f,"(237, 391, 214, 120)",Yes,rhiyasharma,16:35.9,Train
284,CV10_3,CV10_3_0002_vid_914224.jpg,1,f,"(603, 501, 70, 234)",Yes,rhiyasharma,06:01.9,Train
286,CV10_3,CV10_3_0002_vid_919043.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
288,CV10_3,CV10_3_0002_vid_927375.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
290,CV10_3,CV10_3_0002_vid_934134.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
292,CV10_3,CV10_3_0002_vid_941871.jpg,0,,,Yes,rhiyasharma,04:03.1,Validate
294,CV10_3,CV10_3_0002_vid_965214.jpg,1,f,"(1015, 811, 224, 79)",Yes,rhiyasharma,39:27.5,Train
296,CV10_3,CV10_3_0002_vid_967388.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
298,CV10_3,CV10_3_0002_vid_982260.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
300,CV10_3,CV10_3_0003_vid_1034205.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
302,CV10_3,CV10_3_0003_vid_1046014.jpg,1,f,"(384, 883, 188, 53)",Yes,rhiyasharma,06:01.9,Validate
304,CV10_3,CV10_3_0003_vid_1052426.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
306,CV10_3,CV10_3_0003_vid_1054322.jpg,1,f,"(996, 396, 205, 132)",Yes,rhiyasharma,04:03.1,Train
309,CV10_3,CV10_3_0003_vid_1060247.jpg,2,f,"(1046, 157, 177, 167)",Yes,priya,02:12.8,Train
310,CV10_3,CV10_3_0003_vid_1060247.jpg,2,u,"(676, 902, 169, 69)",Yes,priya,02:12.8,Train
311,CV10_3,CV10_3_0003_vid_112691.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
313,CV10_3,CV10_3_0003_vid_147618.jpg,1,f,"(612, 420, 200, 93)",Yes,rhiyasharma,15:46.8,Validate
315,CV10_3,CV10_3_0003_vid_148858.jpg,1,u,"(0, 0, 31, 158)",Yes,rhiyasharma,06:01.9,Train
317,CV10_3,CV10_3_0003_vid_184078.jpg,2,f,"(837, 421, 190, 145)",Yes,rhiyasharma,04:03.1,Train
318,CV10_3,CV10_3_0003_vid_184078.jpg,2,u,"(608, 0, 84, 81)",Yes,rhiyasharma,04:03.1,Train
321,CV10_3,CV10_3_0003_vid_195975.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
323,CV10_3,CV10_3_0003_vid_199126.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
326,CV10_3,CV10_3_0003_vid_232400.jpg,1,f,"(305, 869, 120, 40)",Yes,rhiyasharma,16:35.9,Train
327,CV10_3,CV10_3_0003_vid_261756.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
329,CV10_3,CV10_3_0003_vid_278317.jpg,1,f,"(247, 129, 80, 171)",Yes,rhiyasharma,15:46.8,Validate
331,CV10_3,CV10_3_0003_vid_298034.jpg,1,m,"(617, 509, 202, 91)",Yes,rhiyasharma,06:01.9,Train
333,CV10_3,CV10_3_0003_vid_305598.jpg,1,f,"(33, 566, 143, 120)",Yes,rhiyasharma,04:03.1,Train
335,CV10_3,CV10_3_0003_vid_307771.jpg,1,f,"(1123, 0, 114, 186)",Yes,rhiyasharma,15:46.8,Train
337,CV10_3,CV10_3_0003_vid_312724.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
339,CV10_3,CV10_3_0003_vid_312959.jpg,0,,,Yes,rhiyasharma,39:27.5,Validate
341,CV10_3,CV10_3_0003_vid_317767.jpg,1,u,"(1259, 1, 31, 175)",Yes,rhiyasharma,04:03.1,Train
345,CV10_3,CV10_3_0003_vid_335858.jpg,2,f,"(184, 151, 282, 52)",Yes,rhiyasharma,16:35.9,Train
346,CV10_3,CV10_3_0003_vid_335858.jpg,2,f,"(218, 197, 38, 164)",Yes,rhiyasharma,16:35.9,Train
347,CV10_3,CV10_3_0003_vid_339136.jpg,1,f,"(158, 455, 117, 264)",Yes,rhiyasharma,15:46.8,Train
349,CV10_3,CV10_3_0003_vid_354650.jpg,1,f,"(60, 495, 158, 100)",Yes,rhiyasharma,39:27.5,Train
351,CV10_3,CV10_3_0003_vid_365422.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
353,CV10_3,CV10_3_0003_vid_391529.jpg,1,f,"(556, 165, 58, 243)",Yes,rhiyasharma,04:03.1,Train
355,CV10_3,CV10_3_0003_vid_393776.jpg,1,u,"(1118, 0, 95, 115)",Yes,rhiyasharma,04:03.1,Validate
357,CV10_3,CV10_3_0003_vid_417151.jpg,1,f,"(1138, 351, 46, 252)",Yes,rhiyasharma,39:27.5,Validate
359,CV10_3,CV10_3_0003_vid_441448.jpg,1,f,"(972, 871, 214, 65)",Yes,rhiyasharma,15:46.8,Train
361,CV10_3,CV10_3_0003_vid_446260.jpg,1,f,"(1128, 392, 59, 240)",Yes,rhiyasharma,06:01.9,Train
363,CV10_3,CV10_3_0003_vid_478755.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
366,CV10_3,CV10_3_0003_vid_494554.jpg,1,u,"(932, 917, 206, 50)",Yes,priya,43:01.1,Train
367,CV10_3,CV10_3_0003_vid_496194.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
369,CV10_3,CV10_3_0003_vid_498508.jpg,2,f,"(900, 121, 279, 56)",Yes,rhiyasharma,04:03.1,Train
370,CV10_3,CV10_3_0003_vid_498508.jpg,2,f,"(726, 318, 267, 55)",Yes,rhiyasharma,04:03.1,Train
374,CV10_3,CV10_3_0003_vid_515936.jpg,0,,,Yes,rhiyasharma,32:12.1,Train
375,CV10_3,CV10_3_0003_vid_518450.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
377,CV10_3,CV10_3_0003_vid_526460.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
379,CV10_3,CV10_3_0003_vid_528649.jpg,0,,,Yes,rhiyasharma,15:46.8,Validate
381,CV10_3,CV10_3_0003_vid_548817.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
383,CV10_3,CV10_3_0003_vid_553612.jpg,0,,,Yes,rhiyasharma,15:46.8,Validate
385,CV10_3,CV10_3_0003_vid_559173.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
387,CV10_3,CV10_3_0003_vid_635856.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
389,CV10_3,CV10_3_0003_vid_6395.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
391,CV10_3,CV10_3_0003_vid_641837.jpg,0,,,Yes,rhiyasharma,15:46.8,Validate
393,CV10_3,CV10_3_0003_vid_642326.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
395,CV10_3,CV10_3_0003_vid_645323.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
397,CV10_3,CV10_3_0003_vid_681131.jpg,0,,,Yes,rhiyasharma,39:27.5,Train
399,CV10_3,CV10_3_0003_vid_682309.jpg,2,f,"(890, 401, 244, 115)",Yes,rhiyasharma,15:46.8,Train
400,CV10_3,CV10_3_0003_vid_682309.jpg,2,f,"(279, 523, 61, 126)",Yes,rhiyasharma,15:46.8,Train
403,CV10_3,CV10_3_0003_vid_688681.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
406,CV10_3,CV10_3_0003_vid_700052.jpg,2,f,"(1029, 556, 29, 144)",Yes,priya,02:12.8,Validate
407,CV10_3,CV10_3_0003_vid_700052.jpg,2,u,"(733, 0, 198, 67)",Yes,priya,02:12.8,Validate
408,CV10_3,CV10_3_0003_vid_703358.jpg,1,f,"(234, 778, 146, 73)",Yes,rhiyasharma,15:46.8,Train
410,CV10_3,CV10_3_0003_vid_736507.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
412,CV10_3,CV10_3_0003_vid_789041.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
414,CV10_3,CV10_3_0003_vid_790607.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
417,CV10_3,CV10_3_0003_vid_815248.jpg,1,f,"(571, 858, 115, 71)",Yes,rhiyasharma,32:12.1,Train
418,CV10_3,CV10_3_0003_vid_815577.jpg,1,f,"(901, 770, 114, 153)",Yes,rhiyasharma,06:01.9,Train
420,CV10_3,CV10_3_0003_vid_817856.jpg,1,f,"(54, 506, 110, 101)",Yes,rhiyasharma,16:35.9,Train
422,CV10_3,CV10_3_0003_vid_850587.jpg,1,f,"(572, 858, 169, 38)",Yes,rhiyasharma,16:35.9,Train
424,CV10_3,CV10_3_0003_vid_873771.jpg,1,f,"(445, 142, 49, 162)",Yes,rhiyasharma,06:01.9,Train
426,CV10_3,CV10_3_0003_vid_888417.jpg,1,u,"(1186, 378, 108, 139)",Yes,rhiyasharma,39:27.5,Train
428,CV10_3,CV10_3_0003_vid_922600.jpg,0,,,Yes,rhiyasharma,16:35.9,Train
430,CV10_3,CV10_3_0003_vid_945606.jpg,1,f,"(1149, 412, 72, 200)",Yes,rhiyasharma,04:03.1,Train
432,CV10_3,CV10_3_0003_vid_970556.jpg,1,f,"(267, 402, 82, 197)",Yes,rhiyasharma,39:27.5,Validate
435,CV10_3,CV10_3_0004_vid_1057933.jpg,1,u,"(312, 926, 166, 45)",Yes,priya,02:12.8,Train
436,CV10_3,CV10_3_0004_vid_1068466.jpg,1,f,"(655, 790, 110, 145)",Yes,rhiyasharma,16:35.9,Train
439,CV10_3,CV10_3_0004_vid_1068841.jpg,1,u,"(465, 940, 174, 31)",Yes,priya,02:12.8,Train
440,CV10_3,CV10_3_0004_vid_132897.jpg,1,u,"(35, 0, 55, 124)",Yes,rhiyasharma,16:35.9,Train
445,CV10_3,CV10_3_0004_vid_193277.jpg,1,f,"(818, 739, 72, 50)",Yes,priya,02:12.8,Train
447,CV10_3,CV10_3_0004_vid_194931.jpg,1,f,"(293, 708, 39, 124)",Yes,rhiyasharma,16:35.9,Train
452,CV10_3,CV10_3_0004_vid_213502.jpg,2,f,"(58, 234, 99, 266)",Yes,rhiyasharma,16:35.9,Train
453,CV10_3,CV10_3_0004_vid_213502.jpg,2,f,"(914, 200, 38, 192)",Yes,rhiyasharma,16:35.9,Train
456,CV10_3,CV10_3_0004_vid_222497.jpg,1,f,"(326, 470, 95, 54)",Yes,rhiyasharma,39:27.5,Train
458,CV10_3,CV10_3_0004_vid_232838.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
460,CV10_3,CV10_3_0004_vid_25288.jpg,0,,,Yes,rhiyasharma,15:46.8,Train
462,CV10_3,CV10_3_0004_vid_263491.jpg,0,,,Yes,rhiyasharma,04:03.1,Train
465,CV10_3,CV10_3_0004_vid_269421.jpg,1,u,"(1004, 911, 69, 60)",Yes,priya,02:12.8,Train
466,CV10_3,CV10_3_0004_vid_286668.jpg,0,,,Yes,rhiyasharma,15:46.8,Validate
468,CV10_3,CV10_3_0004_vid_29807.jpg,0,,,Yes,rhiyasharma,06:01.9,Train
